dataset,model_folder,model,method,method_label,run_id,run_num,pred_dir,#Queries,#FoundQueries,F1-Cell,Cardinality,Tuple Constr.,AVG-Score,#Tokens,#Tokens (M),Avg Time (s),Total Time (s)
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes,50,50,0.7208590147047917,0.9370584970584972,0.35481274281274283,0.6709100848586773,12765.0,0.012765,1.578779980777763,78.93899903888814
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes,50,50,0.7350434275052816,0.9366000666000666,0.3842672882672883,0.6853035941242122,12400.0,0.0124,1.6328013891726731,81.64006945863366
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_3,3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_3/nobel_prizes,50,50,0.7400708373648902,0.9403918303918303,0.372994560994561,0.684485742917094,12633.0,0.012633,1.5927924790652468,79.63962395326234
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_4,4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_4/nobel_prizes,50,50,0.7334041706982236,0.9403918303918303,0.372994560994561,0.6822635206948717,12659.0,0.012659,1.528393147480674,76.4196573740337
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_5,5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_5/nobel_prizes,50,50,0.7356254380872923,0.9357092907092909,0.3752672882672883,0.6822006723546238,12666.0,0.012666,1.5909858432924375,79.54929216462187
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_6,6,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_6/nobel_prizes,50,50,0.7348372607473909,0.944042624042624,0.36999456099456096,0.6829581485948587,12625.0,0.012625,1.6592316516395658,82.96158258197829
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_7,7,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_7/nobel_prizes,50,50,0.7200708373648904,0.9407092907092909,0.352994560994561,0.6712582296895807,12708.0,0.012708,1.673954450939782,83.6977225469891
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_8,8,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_8/nobel_prizes,50,50,0.7283631197951038,0.9431390831390831,0.36572183372183376,0.6790746788853401,12623.0,0.012623,1.5745061374735088,78.72530687367544
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_9,9,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_9/nobel_prizes,50,50,0.7275256813714586,0.9351537351537351,0.3802672882672883,0.6809822349308273,12615.0,0.012615,1.5294160449970513,76.47080224985257
nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_10,10,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_10/nobel_prizes,50,50,0.7400708373648902,0.942027972027972,0.377994560994561,0.6866977901291412,12511.0,0.012511,1.6203916983678937,81.01958491839468
